id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_379	12	0.00022869	0.0016682	0.393692	1	7	-0.47167	0.64846	0.64603	0.958295	636	0	-0.47167
Region_78	21	0.00022963	0.0021434	0.404673	2	3	0.19142	0.095289	0.12217	0.853191	108	1	0.19142
Region_260	6	0.00026294	0.0014603	0.393692	3	2	-0.17561	0.97527	0.97514	0.9949	924	0	-0.17561
Region_797	6	0.0002712	0.00149	0.393692	4	4	-1.0053	0.99416	0.99378	0.997914	941	0	-1.0053
Region_621	2	0.0006342	0.0013415	0.393692	5	1	-1.6689	0.52057	0.51748	0.953749	513	0	-1.6689
Region_818	6	0.001115	0.0051432	0.485514	6	1	0.48824	0.196	0.19404	0.866965	209	0	0.48824
Region_728	9	0.0012965	0.0071826	0.550324	7	6	-0.78922	0.87694	0.8753	0.988775	835	0	-0.78922
Region_386	3	0.0013573	0.0037571	0.485514	8	2	-1.3951	0.63445	0.63382	0.955787	627	0	-1.3951
Region_71	15	0.0014754	0.0095487	0.610105	9	5	-0.054119	0.77998	0.7804	0.978122	739	0	-0.054119
Region_610	16	0.0015845	0.010153	0.610105	10	8	-0.39655	0.4565	0.45346	0.908854	473	0	-0.39655
Region_591	8	0.0016054	0.0075786	0.550324	11	6	-0.7178	0.013308	0.01933	0.638488	28	1	-0.7178
Region_812	3	0.001613	0.0044798	0.485514	12	2	-1.3676	0.36184	0.36125	0.88422	383	0	-1.3676
NA	38167	0.0022783	1.0	1.0	13	9863	-0.012673	0.33525	1.0	1.0	359	625	-0.012673
Region_352	3	0.0023931	0.0065193	0.550324	14	2	-0.5433	0.13314	0.13369	0.853191	149	0	-0.5433
Region_611	1	0.0032699	0.0030839	0.485202	15	1	-2.1321	0.99673	0.99686	0.997914	943	0	-2.1321
Region_609	18	0.0033649	0.02035	0.738857	16	10	-0.41585	0.9808	0.98015	0.9949	931	0	-0.41585
Region_402	15	0.0033813	0.019459	0.738857	17	8	-0.54457	0.98574	0.98605	0.995537	935	0	-0.54457
Region_136	6	0.0034727	0.014489	0.683879	18	2	0.0011787	0.29935	0.29853	0.875543	321	0	0.0011787
Region_366	9	0.003832	0.018043	0.738857	19	2	0.22786	0.62638	0.62455	0.954556	620	0	0.22786
Region_21	5	0.0038973	0.013806	0.683879	20	4	-0.774	0.89427	0.89403	0.990353	851	0	-0.774
Region_121	3	0.0038991	0.010341	0.610105	21	2	-0.54564	0.13147	0.132	0.853191	147	0	-0.54564
Region_836	15	0.0042516	0.024013	0.758324	22	6	-0.22389	0.26859	0.26848	0.875543	281	0	-0.22389
Region_649	6	0.0046498	0.019201	0.738857	23	1	0.022221	0.38301	0.38298	0.886925	405	0	0.022221
Region_539	9	0.0049512	0.022439	0.756509	24	5	-0.44313	0.82204	0.82103	0.978122	785	0	-0.44313
Region_324	3	0.0049568	0.013172	0.683879	25	2	-1.1585	0.31863	0.31746	0.875543	342	0	-1.1585
Region_63	1	0.0050197	0.0047372	0.485514	26	1	-1.9675	0.99498	0.99513	0.997914	942	0	-1.9675
Region_468	17	0.0053125	0.029715	0.825041	27	6	0.12932	0.78385	0.78426	0.978122	741	0	0.12932
Region_875	2	0.0061262	0.012182	0.676471	28	2	-1.1687	0.99387	0.99368	0.997914	940	0	-1.1687
Region_891	3	0.0062407	0.016558	0.738857	29	3	-0.80852	0.99376	0.99366	0.997914	939	0	-0.80852
Region_513	6	0.006347	0.024736	0.758324	30	3	-0.26229	0.91792	0.91823	0.993377	870	0	-0.26229
Region_590	5	0.0063532	0.021211	0.741606	31	3	-0.86225	0.96378	0.96398	0.9949	911	0	-0.86225
Region_738	18	0.0064762	0.036161	0.87526	32	5	-0.16105	0.95804	0.95806	0.9949	905	0	-0.16105
Region_813	3	0.0095189	0.025181	0.758324	33	3	-0.59369	0.99048	0.99052	0.997914	937	0	-0.59369
Region_509	4	0.0097194	0.02825	0.808128	34	3	-0.73385	0.79644	0.79656	0.978122	755	0	-0.73385
Region_230	10	0.01066	0.044982	0.87526	35	5	-0.27471	0.55685	0.55718	0.953749	546	0	-0.27471
Region_840	27	0.010756	0.06596	0.87526	36	8	0.1122	0.60677	0.60879	0.953749	596	0	0.1122
Region_192	26	0.011018	0.063277	0.87526	37	5	0.036434	0.88344	0.88254	0.988775	844	0	0.036434
Region_708	13	0.011173	0.052298	0.87526	38	3	0.19431	0.43618	0.4353	0.908854	453	0	0.19431
Region_277	6	0.011818	0.040071	0.87526	39	1	-0.1622	0.64091	0.64111	0.958295	630	0	-0.1622
Region_938	7	0.012485	0.046803	0.87526	40	4	-0.64938	0.5362	0.53541	0.953749	528	0	-0.64938
Region_830	36	0.012591	0.077326	0.87526	41	14	-0.086194	0.82495	0.82402	0.978122	789	0	-0.086194
Region_116	3	0.013164	0.03422	0.87526	42	1	0.39522	0.30634	0.30531	0.875543	327	0	0.39522
Region_833	3	0.013359	0.034606	0.87526	43	2	-0.67592	0.91969	0.91972	0.993377	872	0	-0.67592
Region_897	2	0.013453	0.025706	0.758324	44	2	-0.92642	0.98655	0.98601	0.995537	936	0	-0.92642
Region_335	9	0.014311	0.055238	0.87526	45	4	0.25598	0.1273	0.12644	0.853191	142	1	0.25598
Region_333	3	0.014546	0.037636	0.87526	46	3	-0.62228	0.98545	0.98546	0.995537	934	0	-0.62228
Region_475	6	0.015066	0.049555	0.87526	47	4	-0.55839	0.93475	0.93525	0.9949	886	0	-0.55839
Region_5	6	0.015296	0.050169	0.87526	48	4	-0.553	0.29392	0.29334	0.875543	315	0	-0.553
Region_15	6	0.015431	0.050546	0.87526	49	3	-0.30786	0.12749	0.12651	0.853191	143	0	-0.30786
