id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_494	102	1.0353e-20	4.9501e-06	0.001168	1	87	-1.0742	0.94497	0.9456	1.0	777	0	-1.0742
Region_530	152	8.8784e-10	4.9501e-06	0.001168	2	110	-0.48459	0.45553	0.46338	1.0	299	1	-0.48459
Region_490	30	1.1127e-08	4.9501e-06	0.001168	3	28	-0.88697	1.0	1.0	1.0	944	0	-0.88697
Region_537	79	1.1635e-07	4.9501e-06	0.001168	4	59	-0.54558	0.95529	0.95461	1.0	796	0	-0.54558
Region_161	15	1.7158e-06	3.4651e-05	0.005257	5	12	-1.5013	0.4743	0.4735	1.0	320	0	-1.5013
Region_181	18	1.8828e-06	2.4751e-05	0.004673	6	14	-1.3985	0.92764	0.92752	1.0	753	0	-1.3985
Region_557	33	2.4577e-06	4.4551e-05	0.005257	7	28	-1.0192	0.94001	0.94047	1.0	772	0	-1.0192
Region_562	84	2.7134e-06	7.4252e-05	0.006372	8	55	-0.40085	0.97428	0.97407	1.0	841	0	-0.40085
Region_738	18	3.9334e-06	4.4551e-05	0.005257	9	13	-1.2279	0.72895	0.72905	1.0	515	0	-1.2279
Region_669	15	4.7261e-06	7.4252e-05	0.006372	10	14	-1.3074	0.94343	0.94352	1.0	774	0	-1.3074
Region_52	18	5.2938e-06	5.4451e-05	0.005711	11	16	-0.91975	0.7539	0.75368	1.0	547	0	-0.91975
Region_514	15	5.5432e-06	8.4152e-05	0.00662	12	13	-1.2728	0.73037	0.73148	1.0	517	0	-1.2728
Region_671	69	8.9972e-06	0.00020295	0.013685	13	42	-0.24201	0.98573	0.98538	1.0	885	0	-0.24201
Region_512	33	9.0033e-06	0.00011385	0.008267	14	26	-0.82479	0.90768	0.90815	1.0	726	0	-0.82479
Region_564	47	1.0815e-05	0.00027226	0.015118	15	37	-0.64653	0.94085	0.94083	1.0	773	0	-0.64653
Region_495	15	2.4994e-05	0.00027226	0.015118	16	14	-0.99475	0.99991	0.99991	1.0	943	0	-0.99475
Region_561	53	4.0696e-05	0.00081677	0.026636	17	39	-0.29504	0.73187	0.72944	1.0	520	0	-0.29504
Region_256	51	4.2093e-05	0.00076727	0.026636	18	30	-0.15393	0.98795	0.98784	1.0	891	0	-0.15393
Region_740	29	4.3208e-05	0.00067816	0.026636	19	25	-0.35484	0.92934	0.92967	1.0	756	0	-0.35484
Region_787	6	4.4209e-05	0.00026236	0.015118	20	4	-2.3929	0.49874	0.49904	1.0	332	0	-2.3929
Region_524	12	4.8303e-05	0.00040096	0.021028	21	11	-1.195	0.9976	0.99779	1.0	932	0	-1.195
Region_489	21	4.9885e-05	0.00069796	0.026636	22	15	-0.26789	0.97136	0.97177	1.0	832	0	-0.26789
Region_520	39	5.44e-05	0.00084647	0.026636	23	31	-0.34338	0.99393	0.99415	1.0	913	0	-0.34338
Region_229	24	5.8642e-05	0.00077717	0.026636	24	20	-0.77637	0.99642	0.99663	1.0	926	0	-0.77637
Region_577	24	7.9327e-05	0.0010346	0.029595	25	17	-0.60362	0.91842	0.91964	1.0	741	0	-0.60362
Region_749	9	8.0248e-05	0.00061876	0.026636	26	6	-0.68256	0.62679	0.62494	1.0	422	0	-0.68256
Region_499	6	8.8485e-05	0.00046036	0.022873	27	5	-1.8064	0.98286	0.98276	1.0	874	0	-1.8064
Region_563	12	8.8681e-05	0.00083657	0.026636	28	8	-1.4277	0.967	0.96699	1.0	822	0	-1.4277
Region_814	12	9.5361e-05	0.00088607	0.026982	29	12	-0.62701	0.9999	0.99989	1.0	942	0	-0.62701
Region_463	6	9.7375e-05	0.00050986	0.024065	30	4	-2.2788	0.93035	0.93063	1.0	757	0	-2.2788
Region_836	15	0.00010629	0.0011633	0.031375	31	13	-0.82057	0.97501	0.97517	1.0	845	0	-0.82057
Region_472	25	0.0001075	0.0015692	0.038982	32	21	-0.6696	0.99987	0.99992	1.0	941	0	-0.6696
Region_628	14	0.00011247	0.0011138	0.030924	33	13	-0.62235	0.98782	0.98856	1.0	890	0	-0.62235
Region_935	7	0.00013156	0.00072767	0.026636	34	7	-2.1625	0.99849	0.99856	1.0	935	0	-2.1625
Region_708	13	0.0001378	0.0014702	0.037509	35	9	-0.52032	0.98489	0.98423	1.0	881	0	-0.52032
Region_582	21	0.00013824	0.0018662	0.044042	36	12	-0.53957	0.93736	0.93809	1.0	768	0	-0.53957
Region_430	12	0.00013919	0.0013217	0.034657	37	9	-1.0702	0.23463	0.23474	1.0	141	0	-1.0702
Region_773	15	0.00016134	0.0018068	0.043734	38	10	-1.1694	0.70688	0.70761	1.0	495	0	-1.1694
Region_498	21	0.00017356	0.0022325	0.047897	39	15	-0.92375	0.3845	0.38577	1.0	259	0	-0.92375
Region_687	6	0.00018445	0.0010247	0.029595	40	5	-1.466	0.95207	0.95231	1.0	790	0	-1.466
Region_71	15	0.00019615	0.0021434	0.047055	41	12	-0.89512	0.762	0.76298	1.0	562	0	-0.89512
Region_825	3	0.0002039	0.00063856	0.026636	42	3	-2.2003	0.9998	0.99981	1.0	940	0	-2.2003
