Gene,pvalue,estimate,fdr,Result,Construct
Region_1,0.09701319868387329,-0.0032558551173431107,0.25804927072041045,NoChange,KRAB
Region_2,0.05863175322501941,-0.013859850703713397,0.20402181265670097,NoChange,KRAB
Region_3,0.13542303232138664,0.010520501411634658,0.31444414751229743,NoChange,KRAB
Region_4,0.00408881930329091,0.01377841967219631,0.04500387555069624,Enriched,KRAB
Region_5,0.05570939772973104,-0.010573707097391468,0.20039335147994786,NoChange,KRAB
Region_6,0.09015724933458043,0.005277344366478697,0.2515498561680886,NoChange,KRAB
Region_7,0.0022269455007844427,-0.016032070016291058,0.030740504707976634,Depleted,KRAB
Region_8,0.16269408571563224,-0.01141981065043611,0.3526989292252555,NoChange,KRAB
Region_9,0.20155469024565825,-0.007472270773183369,0.39854428739411163,NoChange,KRAB
Region_10,0.6447034618670712,0.002349495687494236,0.8074795599271226,NoChange,KRAB
Region_11,0.9024330203068782,-0.0010901177719143636,0.9464483346449378,NoChange,KRAB
Region_12,0.7523321609648242,-0.0012364009271336844,0.8738243241325401,NoChange,KRAB
Region_13,0.0016541597659753436,-0.009708796566894431,0.027691859785957604,Depleted,KRAB
Region_14,0.2466334320347852,-0.005110452763532804,0.4486048743650821,NoChange,KRAB
Region_15,0.09807594543011737,-0.010789214463148799,0.259241680318205,NoChange,KRAB
Region_16,0.07956373571819324,-0.007104041057124186,0.23672259696083392,NoChange,KRAB
Region_17,0.6784152140450559,0.0014377941775552227,0.8310126741148111,NoChange,KRAB
Region_18,0.031528133944599614,-0.01031843290185072,0.1420323178206898,NoChange,KRAB
Region_19,0.6490567106541772,-0.0018168017513699238,0.8104244011483097,NoChange,KRAB
Region_20,0.14061257404421082,-0.006095237447200421,0.32108350629547133,NoChange,KRAB
Region_21,4.2622033310526434e-4,-0.027413719412894534,0.013180724761838682,Depleted,KRAB
Region_22,0.5026463385832585,0.0016913927177903746,0.7042018687007868,NoChange,KRAB
Region_23,0.11341769345767054,-0.004992372765335941,0.28041256509805557,NoChange,KRAB
Region_24,0.4061676857200745,0.002857468636842896,0.6308858898469886,NoChange,KRAB
Region_25,0.0828814566605991,-0.0071862001483838835,0.24142512190739526,NoChange,KRAB
Region_26,0.0023822521106628045,-0.015884846139662453,0.031166345952883746,Depleted,KRAB
Region_27,4.8533634086245887e-4,-0.014396881448776815,0.013528374645160168,Depleted,KRAB
Region_28,0.11298253727795163,-0.007270914470343502,0.28041256509805557,NoChange,KRAB
Region_29,0.15575908441462116,-0.007422714681280867,0.34511326546769006,NoChange,KRAB
Region_30,0.18909373421594683,-0.00959642660487405,0.3841364847892493,NoChange,KRAB
Region_31,0.012871025147962066,-0.008337968844958571,0.08617522356267808,NoChange,KRAB
Region_32,0.02362733073624456,0.012229002364797854,0.12135856241798343,NoChange,KRAB
Region_33,0.5490366488565186,0.003457365450750286,0.7407897471138698,NoChange,KRAB
Region_34,0.1020203645024133,0.004105115049959858,0.2650184181327058,NoChange,KRAB
Region_35,0.21802599303979525,0.0033510517251958733,0.41581328630374453,NoChange,KRAB
Region_36,0.044843674105122536,0.00827809238415874,0.17250502719587563,NoChange,KRAB
Region_37,0.03164204337077517,-0.0067994339963430754,0.1420323178206898,NoChange,KRAB
Region_38,0.11862226228896183,0.009587905403142914,0.2882648524441438,NoChange,KRAB
Region_39,0.158100989948835,-0.002650219501022323,0.34631454426560365,NoChange,KRAB
Region_40,0.6530438029117782,-0.0016522866659474521,0.8141765403555847,NoChange,KRAB
Region_41,0.3472593115009129,0.004158013085668049,0.5687000318783065,NoChange,KRAB
Region_42,0.27811964862875355,-0.006146041793353017,0.4835003122315254,NoChange,KRAB
Region_43,0.6161946929144463,-0.0019044346166805115,0.7867796643992365,NoChange,KRAB
Region_44,0.8920011788351091,7.772112098287479e-4,0.9453330195392011,NoChange,KRAB
Region_45,0.12157135658657728,-0.008755397647539334,0.2909888542811445,NoChange,KRAB
Region_46,0.26224635836657473,-0.004679547921427604,0.4648445254183991,NoChange,KRAB
Region_47,0.08856079171123359,-0.006796243362506274,0.2507893177064656,NoChange,KRAB
Region_49,0.43752791692897436,-0.003070495571064904,0.65376072215502945,NoChange,KRAB
Region_50,0.13822624701113304,0.006129551664912672,0.3187318383222391,NoChange,KRAB
Region_51,1.6302266331264016e-4,0.028172867568490065,0.007756446717611933,Enriched,KRAB
Region_52,0.11297266176563438,0.003708904934453857,0.28041256509805557,NoChange,KRAB
Region_54,7.297892713540119e-4,-0.021603658634372108,0.01649323753260067,Depleted,KRAB
Region_55,0.8885079070617542,-5.312905731893872e-4,0.9427360891828941,NoChange,KRAB
Region_56,0.30313644674435347,-0.007035050132064999,0.519926483645845,NoChange,KRAB
Region_57,0.036055609995988044,0.008153651966509278,0.15070798396017887,NoChange,KRAB
Region_58,0.003257391446167176,-0.016584718908397442,0.03738380318421533,Depleted,KRAB
Region_59,0.4352702212491769,0.0019191912557758094,0.6522479750246792,NoChange,KRAB
Region_60,0.18017705700578468,-0.005859959949137653,0.37616641924533334,NoChange,KRAB
Region_61,0.9029048610116823,-8.511903602802152e-4,0.9464483346449378,NoChange,KRAB
Region_62,0.7152288198930631,-0.0013902963145013669,0.8511759225015827,NoChange,KRAB
