bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.00002,0.00284218608630294,0.461901146055555,0.7539651406039088,stable,NoChange,KRAB
PHOX2B.00003,-6.3100968859131e-4,0.891597551577916,0.9636056352582356,early,NoChange,KRAB
PHOX2B.00004,0.00377288503152979,0.451374877411781,0.7479375652390111,early,NoChange,KRAB
PHOX2B.00007,-0.00202343701831046,0.544762071018998,0.8008800190318761,early,NoChange,KRAB
PHOX2B.00008,-0.00277365289589261,0.287736165315251,0.6187080687312627,stable,NoChange,KRAB
PHOX2B.00009,-6.4786371512413e-4,0.79673930590281,0.9228392975514886,early,NoChange,KRAB
PHOX2B.00010,2.8426316624764e-4,0.906388385578365,0.968612045602487,stable,NoChange,KRAB
PHOX2B.00011,-5.14659445909689e-5,0.985314993986086,0.9956146612948228,early,NoChange,KRAB
PHOX2B.00012,-0.00102603101395996,0.697370951605543,0.8794309949249298,stable,NoChange,KRAB
PHOX2B.00013,-0.00254543755718727,0.287808819605951,0.6187080687312627,early,NoChange,KRAB
PHOX2B.00014,-8.4335261024992e-4,0.637793219951993,0.8500754922101394,stable,NoChange,KRAB
PHOX2B.00015,-0.00672109758705068,0.0161136768370328,0.1935840644724853,stable,NoChange,KRAB
PHOX2B.00016,-0.00407326165863723,0.17477640985753,0.5090345790298223,early,NoChange,KRAB
PHOX2B.00017,-0.00360509192563917,0.263332314507238,0.5976800075331896,stable,NoChange,KRAB
PHOX2B.00018,-0.0011596499086051,0.622054477453176,0.842888057018499,early,NoChange,KRAB
PHOX2B.00019,-0.00119316298360297,0.631785224225662,0.8477443406461808,stable,NoChange,KRAB
PHOX2B.00020,-0.00675760504168542,0.0168511103475212,0.19596739801223712,stable,NoChange,KRAB
PHOX2B.00021,-0.00121314690802135,0.762478745428375,0.9066632291612268,early,NoChange,KRAB
PHOX2B.00022,-0.00501948245484255,0.210785868670985,0.5478509946033474,early,NoChange,KRAB
PHOX2B.00023,-0.00488037229599544,0.230968549235899,0.5682823669665799,stable,NoChange,KRAB
PHOX2B.00024,-0.0132361038059811,9.6783992627007e-4,0.06467826412421677,stable,NoChange,KRAB
PHOX2B.00025,-0.010630877254751,0.00838007120087239,0.14892660009796915,stable,NoChange,KRAB
PHOX2B.00026,-0.00487748666377762,0.203344071997912,0.5412816527221437,stable,NoChange,KRAB
PHOX2B.00027,0.00273897593720794,0.373501487734536,0.6921615003750716,stable,NoChange,KRAB
PHOX2B.00028,0.00251150548876194,0.51439542377688,0.7824978930040951,stable,NoChange,KRAB
PHOX2B.00029,0.00506426359581109,0.238980177800308,0.5741481268536959,stable,NoChange,KRAB
PHOX2B.00031,0.00554869894309373,0.134540213649306,0.45489892472377275,stable,NoChange,KRAB
PHOX2B.00032,0.00560431137353936,0.0827320604683237,0.3709191011291627,stable,NoChange,KRAB
PHOX2B.00033,8.0636183694918e-4,0.809600287090748,0.9297449252175922,early,NoChange,KRAB
PHOX2B.00034,-0.00264049454938356,0.531954146337058,0.7932824317098823,stable,NoChange,KRAB
PHOX2B.00035,0.00243323711573686,0.66651899453829,0.8654551708722589,stable,NoChange,KRAB
PHOX2B.00039,8.7355885596258e-4,0.872735852751969,0.9575343532316454,early,NoChange,KRAB
PHOX2B.00040,0.00500547919477829,0.316586232387998,0.6443865803337774,stable,NoChange,KRAB
PHOX2B.00041,-9.419680015146e-4,0.82714067400222,0.9370813791917854,stable,NoChange,KRAB
PHOX2B.00042,-9.9098386254424e-4,0.846710449056217,0.9456217453933216,stable,NoChange,KRAB
PHOX2B.00043,-0.00389595827074551,0.380280716236404,0.6965468358153981,stable,NoChange,KRAB
PHOX2B.00045,-0.00341230733277976,0.446027759915185,0.7447750603156904,stable,NoChange,KRAB
PHOX2B.00046,0.00599380615581447,0.0680888239335755,0.3406070603174344,stable,NoChange,KRAB
PHOX2B.00047,0.00591399132624883,0.228414686616623,0.5649739222222192,stable,NoChange,KRAB
PHOX2B.00048,0.00386468700481379,0.408000557404766,0.7185480030489954,stable,NoChange,KRAB
PHOX2B.00052,-0.0024554794347301,0.599439123649696,0.8315570688339997,stable,NoChange,KRAB
PHOX2B.00053,-0.00122079831187927,0.770673417643811,0.9098415168660736,early,NoChange,KRAB
