Gene,pvalue,estimate,fdr,Result,Construct
Region_1,1.4136767983247397e-5,-0.018555887002159193,1.8521214865008183e-4,Depleted,VPR
Region_2,0.0026399893179359815,0.02339644929647127,0.008584713465518444,Enriched,VPR
Region_3,8.482956972085983e-5,0.03430814002147009,6.514953683842588e-4,Enriched,VPR
Region_4,0.014121033501216624,0.015408675636162989,0.03083433402198026,Enriched,VPR
Region_5,0.38837024103468587,0.002474278889770857,0.4588803522609374,NoChange,VPR
Region_6,0.019845293710004715,-0.022761621447828596,0.04013455372224667,Depleted,VPR
Region_7,0.12643139926096075,-0.025777706788262605,0.17914417700926102,NoChange,VPR
Region_8,0.0017608853218153545,-0.025383092260558578,0.006146101663787956,Depleted,VPR
Region_9,0.007566995609263296,-0.01583416579297576,0.018844529010396748,Depleted,VPR
Region_10,3.6227076342748e-6,0.04090967737445609,6.822766044550873e-5,Enriched,VPR
Region_11,0.0010757767262438139,0.020341012643033618,0.004284150486891664,Enriched,VPR
Region_12,0.15661233542532826,-0.009548916960149846,0.2168109513391987,NoChange,VPR
Region_13,6.958014351610642e-5,-0.014862772107977783,5.566411481288514e-4,Depleted,VPR
Region_14,0.6089845085796914,0.002793029871835779,0.6681092181505353,NoChange,VPR
Region_15,7.0774146312710036e-6,0.030826601339690275,1.0663304711114979e-4,Enriched,VPR
Region_16,0.004979588886971121,-0.02461787621575395,0.01351816322469037,Depleted,VPR
Region_17,0.00407381755025244,-0.019641685410015076,0.011803625209705789,Depleted,VPR
Region_18,4.618003617566593e-4,-0.028416056821489007,0.002295492184898165,Depleted,VPR
Region_19,0.004267499579906722,-0.027102724371078732,0.012191419973455665,Depleted,VPR
Region_20,1.1344843779829116e-5,0.02312521254271457,1.5307072801441074e-4,Enriched,VPR
Region_21,0.11418571997567084,0.016651722946826215,0.16542290201603596,NoChange,VPR
Region_22,0.5527817870659655,-0.0029548438224934917,0.616171067210398,NoChange,VPR
Region_23,0.1776944941297548,0.006332285683431295,0.2393976493193716,NoChange,VPR
Region_24,0.004585556566892122,-0.03285464859103833,0.012794268939723697,Depleted,VPR
Region_25,0.5172030015576055,-0.0030465172140415548,0.5822559320150378,NoChange,VPR
Region_26,0.011073127239222312,0.015450458849950787,0.025732922941534626,Enriched,VPR
Region_27,4.685714704602488e-5,-0.023987402140894117,4.2600592632596426e-4,Depleted,VPR
Region_28,0.7095832826075316,-0.005386987921978872,0.7582308362614758,NoChange,VPR
Region_29,0.47086326194712025,-0.0030064582831141507,0.5388106187344263,NoChange,VPR
Region_30,0.019933333393040552,-0.030177110277165086,0.04021690536353245,Depleted,VPR
Region_31,1.6888679934299634e-5,-0.030110203437101565,2.063157656838766e-4,Depleted,VPR
Region_32,0.004711140202218563,-0.025770529689577555,0.013024069549864162,Depleted,VPR
Region_33,0.9997068270192715,4.066742052517207e-6,0.9997068270192715,NoChange,VPR
Region_34,0.013095194448185498,-0.020939138570788465,0.029229767360888125,Depleted,VPR
Region_35,0.2219860170593306,-0.006209992234992124,0.28586233535845423,NoChange,VPR
Region_36,0.21440697503331943,0.006804664177132804,0.27808307809199534,NoChange,VPR
Region_37,0.005361911330194986,-0.018930255752560347,0.014316778956664259,Depleted,VPR
Region_38,0.400151649006061,0.006971930965163567,0.4679651884883301,NoChange,VPR
Region_39,1.6147892135879616e-5,-0.014378105636892267,2.0195396699550005e-4,Depleted,VPR
Region_40,3.561342939754765e-4,-0.026566872512435107,0.0018827216476832208,Depleted,VPR
Region_41,0.29232222760187254,-0.008132902880169738,0.35856077849673373,NoChange,VPR
Region_42,0.4839749172766181,0.00436563687981686,0.5517191995183641,NoChange,VPR
Region_43,0.0058451927023154835,-0.011293565535364149,0.015271832956338719,Depleted,VPR
Region_44,0.05636030272813133,0.015429105844904168,0.09098163154684057,NoChange,VPR
Region_45,0.001619856316789727,-0.022279986822320564,0.005847303928187892,Depleted,VPR
Region_46,0.43883096897130813,0.005451211064882319,0.5059989744261002,NoChange,VPR
Region_47,0.14021521232794426,0.006313424862333197,0.19617092061062508,NoChange,VPR
Region_49,0.004131232652375934,-0.0385314553527793,0.011893739865438993,Depleted,VPR
Region_50,0.18472215863031696,-0.009482605494832796,0.24738841848458937,NoChange,VPR
Region_51,0.02519308500990144,0.020123391333500502,0.04876777055449872,Enriched,VPR
Region_52,6.738732134968067e-8,-0.029153414763010643,3.2397442097636373e-6,Depleted,VPR
Region_54,0.28801466223314764,-0.010224462036763018,0.35423844171260604,NoChange,VPR
Region_55,3.6671377515339466e-5,-0.03965661502620428,3.5166464252159557e-4,Depleted,VPR
Region_56,0.004445176193560111,0.015602862205690184,0.012518502426723801,Enriched,VPR
Region_57,0.35423739806789384,0.004556933902010663,0.42583857427310645,NoChange,VPR
Region_58,0.3867035204575606,-0.005471318821222932,0.45847038737932394,NoChange,VPR
Region_59,0.12279199211294708,-0.011840881934741206,0.17591752911268488,NoChange,VPR
Region_60,0.0739663671001413,-0.00930403136025161,0.11469227419987604,NoChange,VPR
Region_61,0.4177880541719088,-0.010180063008535745,0.4867015476435639,NoChange,VPR
Region_62,0.0014027406723053273,-0.027228382543714385,0.0052617326463237175,Depleted,VPR
