bin,coeff,pval,fdr,Result,Construct
PHOX2B.00002,-0.00876515501736664,0.321102047723054,0.5101453110462314,NoChange,VPR
PHOX2B.00003,0.01356027430158,0.10745068286506,0.2550238106091965,NoChange,VPR
PHOX2B.00004,0.0267720178544767,0.00249385819692058,0.025093313657697233,Enriched,VPR
PHOX2B.00007,-0.00409988816342733,0.572348652822134,0.733383382204011,NoChange,VPR
PHOX2B.00008,-0.0149830073828401,0.0148827305858972,0.07277307122454939,NoChange,VPR
PHOX2B.00009,-0.0201096659283981,2.636103005907e-4,0.006589469442119995,Depleted,VPR
PHOX2B.00010,-0.0136754985636403,0.00149256900734975,0.018499636049903387,Depleted,VPR
PHOX2B.00011,-0.0052840643172869,0.0855166947656409,0.2200485746369923,NoChange,VPR
PHOX2B.00012,-0.0114261932534695,0.0601517153377562,0.17688776788521562,NoChange,VPR
PHOX2B.00013,-0.0212032771347094,0.00285410292054256,0.02704643165125149,Depleted,VPR
PHOX2B.00014,-0.0259504170244204,2.5946612684934e-4,0.0065445732116161575,Depleted,VPR
PHOX2B.00015,-0.0268506435064038,9.37267581965282e-5,0.003662132190001264,Depleted,VPR
PHOX2B.00016,-0.0286842414692876,8.73006161133454e-5,0.003519099007641037,Depleted,VPR
PHOX2B.00017,-0.0276136401922727,5.589130872894e-4,0.010408355856058616,Depleted,VPR
PHOX2B.00018,-0.0179456929871155,0.00498414008485422,0.037937994828865326,Depleted,VPR
PHOX2B.00019,-0.0101512766274265,0.171833783616212,0.3460448221606304,NoChange,VPR
PHOX2B.00020,-0.00152395445086781,0.835332441597252,0.908262016920783,NoChange,VPR
PHOX2B.00021,-0.00693570419189251,0.381454700343118,0.5683734853544048,NoChange,VPR
PHOX2B.00022,-0.0108525536691132,0.0650223830487548,0.18549163345431596,NoChange,VPR
PHOX2B.00023,-0.018965132434725,3.06797610851358e-5,0.0020199119867193934,Depleted,VPR
PHOX2B.00024,-0.0226288635588504,4.7911109550683e-4,0.009349095507772133,Depleted,VPR
PHOX2B.00025,-0.0112902150262147,0.0982542711373147,0.2405366968568751,NoChange,VPR
PHOX2B.00026,-0.00930118977675174,0.201075179527809,0.38246535197286297,NoChange,VPR
PHOX2B.00027,-0.00950166532640623,0.152611463208906,0.3195744426800069,NoChange,VPR
PHOX2B.00028,-0.0206594942968037,0.00565549529922038,0.04094936874728812,Depleted,VPR
PHOX2B.00029,-0.0225408061841433,9.4517061537041e-4,0.014111878687229839,Depleted,VPR
PHOX2B.00031,-9.724736265874e-4,0.836778169670294,0.9086685758960885,NoChange,VPR
PHOX2B.00032,0.00509989481993795,0.131696560525631,0.290013376569677,NoChange,VPR
PHOX2B.00033,0.0103852243855362,0.00485153415438448,0.03743987340275573,Enriched,VPR
PHOX2B.00034,0.00566196975184536,0.346986860231894,0.5355973106570024,NoChange,VPR
PHOX2B.00035,0.0160130517375412,0.125422624583485,0.28038380987858386,NoChange,VPR
PHOX2B.00039,0.00532512713237563,0.560160701537329,0.7233837085562377,NoChange,VPR
PHOX2B.00040,0.00559745025702389,0.40985421931029,0.5946032887590855,NoChange,VPR
PHOX2B.00041,-0.0028724243432683,0.50656897021504,0.6792841703877888,NoChange,VPR
PHOX2B.00042,-0.00576461029006668,0.192514213585547,0.3724019888711512,NoChange,VPR
PHOX2B.00043,-0.00666530955578639,0.198920724438681,0.38022074234633246,NoChange,VPR
PHOX2B.00045,0.00012475698465453001,0.984110788092047,0.9917611612187116,NoChange,VPR
PHOX2B.00046,0.00832350358545599,0.169443587786184,0.342512404030987,NoChange,VPR
PHOX2B.00047,0.0136634924244197,0.00824843052313648,0.051179219977593386,NoChange,VPR
PHOX2B.00048,0.0125574919863465,0.00543232736319175,0.03997908894426905,Enriched,VPR
PHOX2B.00052,0.0122680401928536,0.0037431686451179,0.032025135088981256,Enriched,VPR
PHOX2B.00053,5.9230952258609e-4,0.916289430043642,0.9535790262275936,NoChange,VPR
PHOX2B.00055,-0.00676616606877614,0.249086654788402,0.43695333347597254,NoChange,VPR
PHOX2B.00056,-0.00489598182947735,0.368363182783016,0.556521592346226,NoChange,VPR
PHOX2B.00057,0.0132879798936986,0.0185938766374944,0.08370690434762483,NoChange,VPR
PHOX2B.00058,0.00881077865973408,0.084978667281726,0.2192714477630464,NoChange,VPR
PHOX2B.00059,0.0112285414607265,0.0355146950643761,0.12580221257393806,NoChange,VPR
PHOX2B.00060,-0.0133246658244222,0.0774729822384298,0.20735723396066208,NoChange,VPR
PHOX2B.00061,-0.0145985439514558,0.0837821767975477,0.21725683711976898,NoChange,VPR
PHOX2B.00062,-0.0279869216348843,0.00838199307264162,0.05157176974017138,NoChange,VPR
PHOX2B.00065,-0.0123315743739018,0.0394682825121134,0.13425962174793168,NoChange,VPR
PHOX2B.00066,-0.00839124336896299,0.10305516049954,0.24789865492431062,NoChange,VPR
PHOX2B.00067,-0.00500285926086093,0.299755572299062,0.48958027498361306,NoChange,VPR
PHOX2B.00068,0.00300123480945434,0.447816201932435,0.6276219338319071,NoChange,VPR
PHOX2B.00069,0.00349215851247123,0.350010864001089,0.5384757754084831,NoChange,VPR
PHOX2B.00070,0.00909201964302336,0.00600390516678874,0.0422631719702139,Enriched,VPR
PHOX2B.00071,0.0156338748651958,4.87534292558404e-5,0.0025086264536782125,Enriched,VPR
PHOX2B.00072,0.00750510062488035,0.119888913125521,0.2726780451072269,NoChange,VPR
PHOX2B.00073,-0.0012857172088029,0.78949403392585,0.8785991035697072,NoChange,VPR
PHOX2B.00074,-0.0101577999829317,0.0103721678649621,0.05850042603904256,NoChange,VPR
PHOX2B.00075,-0.00745714134408977,0.150939156282685,0.31736356263739063,NoChange,VPR
PHOX2B.00076,-0.00494857444605692,0.333591770318482,0.5222481908852251,NoChange,VPR
PHOX2B.00077,0.00519110319807018,0.362771263282443,0.5510603902145785,NoChange,VPR
PHOX2B.00078,0.0091782719145407,0.0167292679620901,0.07839115804493232,NoChange,VPR
PHOX2B.00079,0.0121443588636208,0.00447082850132133,0.03575593736374778,Enriched,VPR
PHOX2B.00083,6.5683807384539e-4,0.836022607783335,0.9086115597556842,NoChange,VPR
PHOX2B.00084,1.3024877850347e-4,0.970843140291145,0.9842510388972288,NoChange,VPR
PHOX2B.00086,-0.00173155390270543,0.81066658505927,0.8930683334615396,NoChange,VPR
PHOX2B.00089,-0.00974088036336034,0.190385865256513,0.3695192144856725,NoChange,VPR
PHOX2B.00090,-0.0114650196559192,0.0452888728208128,0.14729012450067142,NoChange,VPR
PHOX2B.00093,-0.0110750498197946,0.00538463807109985,0.03973843886275498,Depleted,VPR
PHOX2B.00094,-0.00938437104762254,3.2884523844492e-4,0.007478770044053169,Depleted,VPR
PHOX2B.00095,0.0020301043851053,0.645581939343738,0.7861976967408484,NoChange,VPR
PHOX2B.00096,0.00408889666057018,0.457565592798875,0.6359598909886625,NoChange,VPR
PHOX2B.00097,0.00374759854062288,0.658070935198004,0.7956130891639837,NoChange,VPR
PHOX2B.00100,-0.0140194967188917,0.076108103068214,0.20495262602411315,NoChange,VPR
PHOX2B.00101,-0.0105899079388392,0.128984217209849,0.28599881522146714,NoChange,VPR
PHOX2B.00105,-0.00102312869982066,0.847271796387586,0.9143602381898297,NoChange,VPR
PHOX2B.00106,0.00649241154946685,0.23920287389726,0.4260052886244813,NoChange,VPR
PHOX2B.00107,0.00202410629784047,0.689247890708266,0.8170619179353749,NoChange,VPR
PHOX2B.00108,0.00221690062791188,0.652153673776341,0.7909751875951372,NoChange,VPR
PHOX2B.00112,-0.00179179145458529,0.642893431368751,0.784356833923489,NoChange,VPR
PHOX2B.00113,0.00534490209293478,0.173279761782745,0.348246299278073,NoChange,VPR
PHOX2B.00114,-0.00590023357734164,0.139095625787284,0.3010864009904158,NoChange,VPR
PHOX2B.00115,9.5114246211754e-4,0.843688142165353,0.911964113595191,NoChange,VPR
PHOX2B.00116,0.00271656153915102,0.584653614937291,0.7422746603744652,NoChange,VPR
PHOX2B.00120,0.010109245417055,0.0218640129956118,0.09235869440696777,NoChange,VPR
PHOX2B.00121,0.00663773172762286,0.184326309740362,0.36243255470759245,NoChange,VPR
PHOX2B.00122,0.00644507647053794,0.241261798907224,0.42824769414456054,NoChange,VPR
PHOX2B.00123,0.00206862362800979,0.720454414859457,0.8384244383921156,NoChange,VPR
PHOX2B.00124,0.00831242329883012,0.0776928866029257,0.20754436050799954,NoChange,VPR
PHOX2B.00125,0.00475792365175884,0.30000913605053,0.48989871908729743,NoChange,VPR
PHOX2B.00126,0.00992562661153571,0.0710506182456589,0.19631578512485182,NoChange,VPR
PHOX2B.00128,0.00573305859912742,0.139474642337091,0.30151840565972104,NoChange,VPR
PHOX2B.00129,-0.00213389493823304,0.658683043227038,0.796007843032646,NoChange,VPR
PHOX2B.00130,-0.00164692483364009,0.700123324992577,0.8245184763275257,NoChange,VPR
PHOX2B.00131,-0.00994466949491855,0.0521402865585281,0.1612122205490324,NoChange,VPR
PHOX2B.00132,-8.6559710528962e-4,0.859835228114067,0.9214370086351517,NoChange,VPR
PHOX2B.00134,0.00495500102914348,0.383804205190896,0.5704742864022837,NoChange,VPR
PHOX2B.00135,0.00324631110055328,0.574795904383783,0.7354485010719207,NoChange,VPR
PHOX2B.00136,-0.00412542804672974,0.424626149428018,0.6074962012905077,NoChange,VPR
PHOX2B.00137,-0.0105634291545262,0.0207880181945394,0.08950140316662424,NoChange,VPR
PHOX2B.00139,-0.0037811716795632,0.380128844059125,0.567157597045437,NoChange,VPR
PHOX2B.00141,0.00130433390002386,0.722607358617508,0.83976114372207,NoChange,VPR
PHOX2B.00142,-0.00375330677349052,0.298556388821528,0.48848043149030557,NoChange,VPR
PHOX2B.00143,-0.0043448237096243,0.395241531855804,0.5813213841006694,NoChange,VPR
PHOX2B.00144,-0.00512465329485592,0.393080234556861,0.5795042046126566,NoChange,VPR
PHOX2B.00145,-0.00498806153810852,0.410640151949776,0.5949262813116836,NoChange,VPR
PHOX2B.00146,-0.00781508905393151,0.111021711748694,0.25995744687390226,NoChange,VPR
PHOX2B.00147,-0.0105153777031369,0.0321327001966615,0.11802221510844943,NoChange,VPR
PHOX2B.00148,-0.00632662320775608,0.166207794710538,0.3382640399179573,NoChange,VPR
PHOX2B.00149,6.9941082935621e-4,0.889519766931362,0.9381355918197064,NoChange,VPR
PHOX2B.00150,0.00236899110119385,0.628211171925072,0.7731509735136134,NoChange,VPR
PHOX2B.00151,-0.00155118774199802,0.830977074416051,0.9050198170327166,NoChange,VPR
PHOX2B.00187,0.00278741684714053,0.69216923453563,0.8191314209284084,NoChange,VPR
PHOX2B.00188,-0.00315567967810251,0.634724422262933,0.7782014246885325,NoChange,VPR
PHOX2B.00189,-0.00984020398346743,0.186960752485377,0.36537859808495493,NoChange,VPR
PHOX2B.00190,-0.0244830936636924,2.9891396398809e-4,0.0070504065158996185,Depleted,VPR
PHOX2B.00191,-0.0188462877133802,0.00275782817533624,0.026566336737412405,Depleted,VPR
PHOX2B.00192,-0.00569213592281109,0.229858522515738,0.41565142232343616,NoChange,VPR
PHOX2B.00196,0.00217509007522452,0.619606554581187,0.7675318823897177,NoChange,VPR
PHOX2B.00197,0.00272372868181131,0.579775427533525,0.7390215576358377,NoChange,VPR
PHOX2B.00198,-0.00355053245689925,0.393649065794345,0.5798972275615603,NoChange,VPR
PHOX2B.00199,-0.0131354506495325,0.0539670865514966,0.1650496686906872,NoChange,VPR
PHOX2B.00200,-0.0230578492487258,0.0032468859726569,0.029284203792514753,Depleted,VPR
PHOX2B.00201,-0.0213693373811752,0.00920296378745481,0.05459424030422376,NoChange,VPR
PHOX2B.00202,-0.00847912704810238,0.174045696615397,0.3493657645539892,NoChange,VPR
PHOX2B.00203,0.0026139049469443,0.434933462603533,0.6162847225147333,NoChange,VPR
PHOX2B.00204,0.00928244222889624,0.00195264503718038,0.02165584960482167,Enriched,VPR
PHOX2B.00205,0.0085258021433756,0.0210630437356947,0.09009550289779668,NoChange,VPR
PHOX2B.00206,0.00410559932290539,0.308858505742964,0.4984117332374396,NoChange,VPR
PHOX2B.00207,-0.00417283946037957,0.444667176910504,0.6248356608246667,NoChange,VPR
PHOX2B.00208,-0.0107965752642625,0.0393364427157449,0.13394895775512156,NoChange,VPR
PHOX2B.00209,-0.00732634610769709,0.196499451738133,0.3773686734435067,NoChange,VPR
PHOX2B.00210,-0.00740966177389383,0.186603385852827,0.3649787627622018,NoChange,VPR
PHOX2B.00213,-0.00165832832732049,0.768425973669048,0.8662189490492137,NoChange,VPR
PHOX2B.00214,-0.00277052847118228,0.58301453088278,0.7413506912487193,NoChange,VPR
PHOX2B.00216,-0.00212840519990837,0.717667416055993,0.8362285534214307,NoChange,VPR
PHOX2B.00217,0.00419349745541727,0.378767301409874,0.5658324368310667,NoChange,VPR
PHOX2B.00218,0.00408459778366435,0.371630041380173,0.5593851648965467,NoChange,VPR
PHOX2B.00222,0.0017614033213795,0.626460802971698,0.7718488181017982,NoChange,VPR
PHOX2B.00223,0.00185730963482956,0.583624274144711,0.7416374419849545,NoChange,VPR
PHOX2B.00224,0.00544236903160646,0.096635866510225,0.23803335876836854,NoChange,VPR
PHOX2B.00225,-5.2435410332084e-4,0.901222274429239,0.9448398279280398,NoChange,VPR
PHOX2B.00226,-0.0118915597663482,0.0146179061476353,0.0720469332469511,NoChange,VPR
PHOX2B.00227,-0.0230563394397198,5.06331788008391e-5,0.0025380863721447115,Depleted,VPR
PHOX2B.00228,-0.0107525975435965,0.04097224661071,0.1376137537800569,NoChange,VPR
PHOX2B.00229,-0.00925434907253691,0.124797407012241,0.27931712361036004,NoChange,VPR
PHOX2B.00230,-0.00893944139113196,0.0878255797751536,0.2242301023786097,NoChange,VPR
PHOX2B.00231,-0.00698841570032006,0.181621913704365,0.35922504345678957,NoChange,VPR
PHOX2B.00232,7.7230653967778e-4,0.864406730015477,0.9239676411664316,NoChange,VPR
PHOX2B.00233,0.0076038990569861804,0.0668527691889578,0.18911047172366055,NoChange,VPR
PHOX2B.00235,-0.0026614548069945,0.659204983305736,0.7962933354393111,NoChange,VPR
PHOX2B.00236,0.0045815204898187,0.465355437266974,0.6434312617032971,NoChange,VPR
PHOX2B.00237,-0.00348512411756721,0.591332413917551,0.7474566861635076,NoChange,VPR
PHOX2B.00238,7.9154267070905e-4,0.879706036419104,0.9320993503793118,NoChange,VPR
PHOX2B.00239,-0.0017964764980127,0.736156932097945,0.8470126825689601,NoChange,VPR
PHOX2B.00240,0.00409079393044892,0.32017141368061097,0.5091504898232082,NoChange,VPR
PHOX2B.00241,0.00821351611756767,0.0989980900162716,0.24157240663954893,NoChange,VPR
PHOX2B.00242,0.00266668630250238,0.53680688043899,0.70501123614246,NoChange,VPR
PHOX2B.00243,-0.016388406120535,0.310190111078356,0.4996926334229214,NoChange,VPR
PHOX2B.00244,-0.0115147878835134,0.289966122513899,0.4798716938941053,NoChange,VPR
PHOX2B.00245,-0.00506818922703654,0.533743613282816,0.7024312933759765,NoChange,VPR
PHOX2B.00248,0.00556956299555652,0.199384519936632,0.38073550455584737,NoChange,VPR
PHOX2B.00249,0.00684745942649044,0.165356060861479,0.3372255372910382,NoChange,VPR
PHOX2B.00252,0.00601694987457425,0.179898580774656,0.3568698678438705,NoChange,VPR
PHOX2B.00253,-0.0065422777809028,0.215395509151065,0.3991201218319402,NoChange,VPR
PHOX2B.00254,-0.0119548396662296,0.0041158753800717,0.03392023161517549,Depleted,VPR
PHOX2B.00255,-0.0170326267548709,1.7839291759517e-4,0.005289476526496503,Depleted,VPR
PHOX2B.00256,-0.00632271190931277,0.219471814664897,0.40358776738960556,NoChange,VPR
