"p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","ident","method","ncells"
0.0419936316367793,-0.0152796534474318,"NA","NA",0.991626314818087,"GNPDA2","X1","MAST.cov",22
0.04758569855886,0.133542941960638,"NA","NA",0.991626314818087,"RPS7P7","X1","MAST.cov",22
0.0946244246121924,0.00102973245037679,"NA","NA",0.991626314818087,"CHRNA9","X1","MAST.cov",22
0.106356796067815,0.0124009040388729,"NA","NA",0.991626314818087,"KLHL5","X1","MAST.cov",22
0.117206218906553,NA,"NA","NA",0.991626314818087,"AC095057.3","X1","MAST.cov",22
0.123080587381066,-0.00153699328161316,"NA","NA",0.991626314818087,"PHOX2B","X1","MAST.cov",22
0.124305771179698,-0.00491375302801081,"NA","NA",0.991626314818087,"AC096586.1","X1","MAST.cov",22
0.145198371390793,0.0015485580113157,"NA","NA",0.991626314818087,"AC079921.2","X1","MAST.cov",22
0.153229556364833,-0.00375909557621103,"NA","NA",0.991626314818087,"BEND4","X1","MAST.cov",22
0.172068272090441,NA,"NA","NA",0.991626314818087,"TLR1","X1","MAST.cov",22
0.239217355608719,0.0105425601618927,"NA","NA",0.991626314818087,"WDR19","X1","MAST.cov",22
0.265720348796727,NA,"NA","NA",0.991626314818087,"RBM47","X1","MAST.cov",22
0.275272832536924,0.00490253437771601,"NA","NA",0.991626314818087,"GUF1","X1","MAST.cov",22
0.280505967723731,0.0928066771653314,"NA","NA",0.991626314818087,"TMEM33","X1","MAST.cov",22
0.28755439083947,0.0167753988631276,"NA","NA",0.991626314818087,"SMIM14","X1","MAST.cov",22
0.357120379207029,-0.0183448650412553,"NA","NA",0.991626314818087,"KRT18P25","X1","MAST.cov",22
0.384144444631567,0.0204171528192229,"NA","NA",0.991626314818087,"FAM114A1","X1","MAST.cov",22
0.38709823101957,NA,"NA","NA",0.991626314818087,"AC105389.1","X1","MAST.cov",22
0.412999244181833,0.0135053181287761,"NA","NA",0.991626314818087,"ATP8A1","X1","MAST.cov",22
0.427412610880377,0.00163971124564887,"NA","NA",0.991626314818087,"APBB2","X1","MAST.cov",22
0.438877455490247,NA,"NA","NA",0.991626314818087,"TLR6","X1","MAST.cov",22
0.445291080450176,NA,"NA","NA",0.991626314818087,"AC108471.2","X1","MAST.cov",22
0.45821027528014,NA,"NA","NA",0.991626314818087,"AC106052.1","X1","MAST.cov",22
0.460835098176872,0.000778119161422946,"NA","NA",0.991626314818087,"NSUN7","X1","MAST.cov",22
0.477525517475109,NA,"NA","NA",0.991626314818087,"AC096586.2","X1","MAST.cov",22
0.48240562168672,-0.114148760644303,"NA","NA",0.991626314818087,"NDUFB4P12","X1","MAST.cov",22
0.491554321989421,NA,"NA","NA",0.991626314818087,"LINC02265","X1","MAST.cov",22
0.494976284908481,-0.00394817228193611,"NA","NA",0.991626314818087,"AC098591.1","X1","MAST.cov",22
0.510050406057601,NA,"NA","NA",0.991626314818087,"AC098591.2","X1","MAST.cov",22
0.573596747225984,0.0101335578079411,"NA","NA",0.991626314818087,"ARL4AP2","X1","MAST.cov",22
0.580992522644054,-0.00669087763323541,"NA","NA",0.991626314818087,"RFC1","X1","MAST.cov",22
