ENSG00000213851	ENSG00000213851.3	ENST00000468126	ENST00000468126.1
ENSG00000250781	ENSG00000250781.2	ENST00000503321	ENST00000503321.1
ENSG00000248939	ENSG00000248939.1	ENST00000505575	ENST00000505575.1
ENSG00000249216	ENSG00000249216.1	ENST00000506475	ENST00000506475.1
ENSG00000224097	ENSG00000224097.5	ENST00000507033	ENST00000507033.1
ENSG00000250657	ENSG00000250657.1	ENST00000507388	ENST00000507388.1
ENSG00000251501	ENSG00000251501.1	ENST00000507410	ENST00000507410.1
ENSG00000249685	ENSG00000249685.1	ENST00000507579	ENST00000507579.1
ENSG00000205794	ENSG00000205794.4	ENST00000507914	ENST00000507914.2
ENSG00000250467	ENSG00000250467.1	ENST00000508038	ENST00000508038.1
ENSG00000250781	ENSG00000250781.2	ENST00000508911	ENST00000508911.1
ENSG00000250863	ENSG00000250863.2	ENST00000509098	ENST00000509098.2
ENSG00000249207	ENSG00000249207.2	ENST00000509449	ENST00000509449.1
ENSG00000250568	ENSG00000250568.1	ENST00000510152	ENST00000510152.1
ENSG00000249122	ENSG00000249122.1	ENST00000510602	ENST00000510602.1
ENSG00000249771	ENSG00000249771.2	ENST00000510772	ENST00000510772.1
ENSG00000251517	ENSG00000251517.1	ENST00000511279	ENST00000511279.1
ENSG00000250906	ENSG00000250906.1	ENST00000513127	ENST00000513127.1
ENSG00000250893	ENSG00000250893.1	ENST00000514187	ENST00000514187.1
ENSG00000250781	ENSG00000250781.2	ENST00000515392	ENST00000515392.1
ENSG00000250338	ENSG00000250338.1	ENST00000515422	ENST00000515422.1
ENSG00000255458	ENSG00000255458.7	ENST00000529314	ENST00000529314.2
ENSG00000255458	ENSG00000255458.7	ENST00000532680	ENST00000532680.1
ENSG00000260519	ENSG00000260519.1	ENST00000562054	ENST00000562054.1
ENSG00000260296	ENSG00000260296.1	ENST00000567102	ENST00000567102.1
ENSG00000272862	ENSG00000272862.1	ENST00000608029	ENST00000608029.1
ENSG00000273369	ENSG00000273369.1	ENST00000610260	ENST00000610260.1
ENSG00000272936	ENSG00000272936.1	ENST00000610267	ENST00000610267.1
ENSG00000285454	ENSG00000285454.1	ENST00000645181	ENST00000645181.1
