"","Chr.region","start.region","end.region","bins","name","BINS","Chr.bin","start.bin","end.bin","coeff","pval","fdr","speed","no_bins"
"1","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00009","chr4","40749769","40749869",-0.00064786371512413,0.79673930590281,0.922839297551489,"early",12
"2","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00010","chr4","40749869","40749969",0.00028426316624764,0.906388385578365,0.968612045602487,"stable",12
"3","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00013","chr4","40750169","40750269",-0.00254543755718727,0.287808819605951,0.618708068731263,"early",12
"4","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00014","chr4","40750269","40750369",-0.00084335261024992,0.637793219951993,0.850075492210139,"stable",12
"5","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00015","chr4","40750369","40750469",-0.00672109758705068,0.0161136768370328,0.193584064472485,"stable",12
"6","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00016","chr4","40750469","40750569",-0.00407326165863723,0.17477640985753,0.509034579029822,"early",12
"7","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00017","chr4","40750569","40750669",-0.00360509192563917,0.263332314507238,0.59768000753319,"stable",12
"8","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00018","chr4","40750669","40750769",-0.0011596499086051,0.622054477453176,0.842888057018499,"early",12
"9","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00023","chr4","40751169","40751269",-0.00488037229599544,0.230968549235899,0.56828236696658,"stable",12
"10","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00024","chr4","40751269","40751369",-0.0132361038059811,0.00096783992627007,0.0646782641242168,"stable",12
