"","Chr.region","start.region","end.region","bins","name","BINS","Chr.bin","start.bin","end.bin","coeff","pval","fdr","speed","no_bins"
"1","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00009","chr4","40749769","40749869",-0.0201096659283977,0.00026361030059099,0.00658946944212724,"stable",12
"2","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00010","chr4","40749869","40749969",-0.0136754985636407,0.00149256900734976,0.0184996360488415,"stable",12
"3","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00013","chr4","40750169","40750269",-0.0212032771347096,0.0028541029204012,0.027046431652478,"early",12
"4","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00014","chr4","40750269","40750369",-0.0259504170244205,0.00025946612684959,0.00654457321162246,"stable",12
"5","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00015","chr4","40750369","40750469",-0.0268506435064038,9.37267581941521e-05,0.00366213218990842,"early",12
"6","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00016","chr4","40750469","40750569",-0.0286842414692879,8.73006161110055e-05,0.00351909900768639,"stable",12
"7","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00017","chr4","40750569","40750669",-0.0276136401922727,0.00055891308731663,0.0104083558565657,"stable",12
"8","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00018","chr4","40750669","40750769",-0.0179456929871156,0.00498414008478479,0.0379379948283368,"early",12
"9","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00023","chr4","40751169","40751269",-0.0189651324347251,3.06797610851877e-05,0.00201991198672281,"early",12
"10","chr4",40749815,40752221,"PHOX2B.00009,PHOX2B.00010,PHOX2B.00013,PHOX2B.00014,PHOX2B.00015,PHOX2B.00016,PHOX2B.00017,PHOX2B.00018,PHOX2B.00023,PHOX2B.00024,PHOX2B.00028,PHOX2B.00033","Region_1","PHOX2B.00024","chr4","40751269","40751369",-0.0226288635588503,0.00047911109550587,0.0093490955077534,"stable",12
